chapter,paragraph,text,class,class_name
17,2,"Now we have the river on our left.
We are looking nearly south.
The native city lies in the distance before us, and many hundred miles in that direction is Formosa and the Philippine Islands.
A short distance in front of us we can see the place we have just come from.
",11,Geography and Topography
17,3,"That fine building on the right-hand side of the street is the Imperial Bank of China, and we looked from that dormer window in this direction toward the north.
In that first outlook over the city we saw flag-poles; in this direction we see others.
I think we can see the English flag on the first one and the French red, white and blue on the signal staff by the black ball.
",22,Trade and Commerce
17,4,"I have alluded to the suitableness of Shanghai for a comparison between Chinese and European civilization; this comparison you could make better should I take you through the native city, for it is considered a typical Chinese city; but I am afraid you will have to judge in a measure from what you have seen of Canton and from what you will see later of other cities and be satisfied with this distant view of the native city.
I entered it several times for the purpose or getting a representative view and as often returned in despair.
There is no accessible point of elevation over the city for a panorama; there is no street with light and space enough to enable one to obtain a view.
It is a wilderness of low, one-story buildings with weather-blackened tile roofs, surrounded by five miles of old crenulated brick wall, and is supposed to contain about a million inhabitants.
Within it is traversed by lanes or streets which might better be termed fetid tunnels seething with filth and teeming with miserable and vicious-looking humanity.
Odors are suffocating, and the eyes can find nothing attractive or beautiful to rest upon; squalor, indigence, misery, slush, stench, depravity, dilapidation, decay prevail everywhere.
One almost fears to enter a place of so many repugnant scenes and hurries away after a brief glance.
The saying that distance lends enchantment"" will answer for the native city of Shanghai; therefore, you will, I hope, be satisfied to view the dim outline of it by those long, square structures near the white space far away and in line with that signal staff which bears the French flag and marks the beginning of the French quarter of the city.
In greatest possible contrast there lies directly before us a continuation of the Bund in the European city, where all is bustle and activity; the streets are broad, well macadamized and lined with beautiful trees.
The houses are surrounded by gardens filled with fragrant shrubs and flowers.
The river before the native city is a chaos of junks and sampans; here, out in the stream are many fine coasting steamers from all ports of the Empire, and farther up you see lying at the wharf stately, modern steamers that ply on the Yang-tse or down the coast to Ningpo.
The suburbs of European Shanghai are dotted with magnificent villas.
Both banks of the Wusung are lined with factories and ship-yards.
There are churches, libraries, theaters, clubs and race-courses; there are dances and dinner parties.
All the comforts and luxuries of Western life are to be found side by side with what I have mentioned within the walls of the native city.
The contrast is marvelous in our eyes.
Yet stranger still is the fact that, though the Chinese note the contrast, they are, with few exceptions, happy in their own way.
They live in the present, guided by the past; with them the present and the past are wedded, and a divorcement of the two is wonderfully slow.
In this case a little leaven will scarcely ""leaven the whole lump.""
It will require every influence for a great period of time; it will require the missionary seconded by the locomotive and possibly by ""Krupps,"" and this for many generations.
We can see the French settlement commencing at the signal-pole and continuing on to the wall of the native city, showing all the concomitants of Western progress.
Just notice those jaunty wide-awake little steam launches by the landing-stages side by side with the sampans.
There is a comparison by itself; you may notice at the same time that those sampans are quite dissimilar in model to those we saw in Canton.
In this direction we see again the promenade along which pedestrians stroll to enjoy the river breeze in hot summer weather; and the same street life, the ""rikishas,"" some scudding along with an occupant and others waiting in the shade of those trees; but here we also see the indispensable wheelbarrow doing transport service.
Could you tell by those little docks or landing-steps that extend along the bank of the river as far as we can see that there is a tide at Shanghai?
They are made for a rise and fall of several feet, and this is to accommodate the tides.

",20,Social Classes and Customs
17,5,"Do you remember that when we were at Hongkong I told you that a building for storing goods. is called a ""godown"" in the East?
Up the river, in the French section by those white river-boats, you can see a range of large godowns.
When I returned from the north of China I was obliged to store my luggage in those godowns until I had complied with the tedious Custom-house requirements.
While looking in this direction permit me to remind you that in a few days we shall make a trip from Shanghai to Ningpo, and when we go we shall take that first large white steamer lying on the hither side of the godowns.
Have you noticed another opium clipper in this outlook?
If that great hull were filled with opium at ten dollars per pound, a moderate wholesale price, it would be worth a risky, piratical ""hold-up.""
",22,Trade and Commerce
17,6,"We have obtained a general view of European Shanghai along the river-front; have looked toward the French settlement, in which the streets have French names.
We have seen the American settlement, where the principal street is called Broadway and the leading hotel the Astor House; and now, as I promised to show you a street back from the river, a street in which, while in the European section, the shops and inhabitants are altogether Chinese, we will leave our elevated view-point over the Custom-house and enter Nankin Road, a cross-street which leads from the Bund through the heart of the English settlement.
",2,British Colonialism
18,2,"Here we are looking nearly eastward and toward the Bund in a street which, although filled with Chinamen and lined with Chinese shops, is plainly not in a typical Chinese city.
The streets are broad, well macadamized and clean, very unlike the narrow, filthy lanes seen in any really Chinese city.
The sidewalks are broad and well flagged; those poles and wires again give a Western aspect.
Those chimneys in the distance to the right plainly tell that we have not gone far into the native quarter to gain a glimpse of the Chinese portion of the settlement.
Yet it shows again how, aligned side by side, the East and the West are slow to assimilate.
",2,British Colonialism
18,3,"There is one feature, however, about this street which gives more evidence of assimilation; it leads out to the most fashionable suburbs and to the race-course, and on Sundays and during the cool afternoon hours of weekdays it is filled with stylish modern vehicles, many of which are occupied and owned by wealthy Chinese, including the ""upper-ten-dom"" of Chinese ladies, elegantly attired, richly bejeweled and coiffured and painted.
That these Chinese drive out in European carriages, that they attend the races, are among the hopeful signs that there is a trifling infiltration of occidentalism.
",20,Social Classes and Customs
18,4,"Here, again, is the ""rikisha,"" showing its inward construction and suggesting a stunted survival of the ""Onehoss Shay.""
Standing nearest us is one of England's Indian soldiers who aspires to live in art as a man of letters and has probably succeeded beyond his hopes when he halts for a moment before the camera.
Notice his costume, his khaki suit, his curious cap, his heavy shoes, and especially his leggings; they are such as are worn by all his Majesty's native troops in India, not buttoned nor laced at the side, but consisting of a continuous piece of cloth wrapped from the foot upward to the knee and fastened.
Many English officers and men have adopted this style of legging.
A noteworthy physical feature of nearly all East Indian types is a deficiency of calves; but that cannot be regarded as an intellectual disparagement if it be true according to anthropologists that all human development is headwards; it is quite easy to believe on general principles that the less calf the more brain.
Notwithstanding this headward development theory, I am rather suspicious of the literary attainments of this Hindoo, as real scholars are not always fond of disporting literature.
",2,British Colonialism
18,5,"It is quite plain that here, as usual, the people are watching the operator; but the picture-making process is not altogether strange to them.
There are at least five or six well-equipped photographic galleries in this street, all belonging to Chinamen and well supplied with the latest appurtenances of the art.
",15,Photography and Imaging
18,6,"We will pass along this street and obtain a view of a typical China tea-house.
",4,Daily Life and Occupations
19,2,"We can readily see we are still on the wide and wellkept street of the European quarter, but the building opposite is Chinese except the upper half-roof, which is covered with corrugated iron, an entirely foreign product.
It is a matter of commercial interest to see into what general use this corrugated iron has come, not only in the coast towns in China, but in our newly acquired islands in the East, where it constitutes a large part of the building material; indeed, in Manila, I decided on different occasions that it was useless to make panoramic views looking over central portions of the city because it was one monotonous characterless glare of corrugated iron.
The universal Chinese roofing is the dingy tile.
It is the upper part of the building across the way which is the tea-house.
The ground floor is occupied by different shops with their fronts widely open to the street, and the native proprietors are standing in the doorway to see what is attracting the attention of those outside.
You will note that most of the persons in this gathering are of the better class-merchants, clerks, servants many of them wearing caps which generally indicates a rank above the coolie, who is the most menial type of the East.
A few have come out upon the balcony to witness what is taking place on the street.
Notice that the rail on that balcony has turned balusters, which tells us that they use the lathe.
Notice, too, that there is some elaborate carving in wood on the panels of the wall.
",1,Architecture and Building
19,3,"The tea-house is a national institution in China; they are found in every city and town and village, and even in country places by the wayside, where they consist often of a shed or a simple shelter of thatch or matting.
It may be said that they take the place of the beer saloon of the Western world.
Comparisons may be odious, but in studying a people or a nation one is compelled to make them, and since reaching Shanghai most of the comparisons have been against the Chinaman; but in the matter of the respective national resorts, as the teahouse versus the beer-saloon, a comparison is scarcely admissible, because the frequenters of the tea-house are people of the highest respectability, and I cannot say so much in reference to patrons of the beer-saloon.
",20,Social Classes and Customs
19,4,"To see ourselves as others see us is a moral impossibility, and could we do so it would scarcely mend matters, as the ethical vision of the second person would probably be no better than that of the first;
but it is curious to reflect on what would be the impressions of a Chinese gentleman who should for a first time pass through an American city or a single street of an average American town and examine the character of our national resort, the beer-saloon-what they drink and how they act therein, the numerical relation between the bakery and the beer-shop;
the unaccountable antics and bestiality of alcoholic drunkenness;
the suffering, the wretchedness, the crime, the starvation arising therefrom.
He might at the same time see a frequenter of this national resort come staggering to the door and in drunken stupor and maudlin profanity point his finger of scorn at some poor humble, industrious tea-drinking Chinaman passing by.
His first impression surely would be, ""Is this Western civilization?""
",20,Social Classes and Customs
19,5,"I need not describe the beer-saloon; it is well known.
but it will be interesting to inspect the tea-house.
First, though, note the native policeman in regulation garb; his feet, his arms and his head are all in a position that clearly betrays a consciousness of authority over his fellows about him.
Just at the right-hand side of that front we will enter and ascend to the room above, where we can see the interior of the Chinese national resort.
",20,Social Classes and Customs
20,2,"Seated on one of these black stools we are permitted to look around; if you spy any drunken men about do not fail to call my attention, because, while I have been many times in these tea-houses, I have never yet seen any in such a condition.
A tea-house usually consists of two large rooms furnished with many small tables and square stools, as you see here.
The rooms are decorated with handsome mirrors, rich carving in wood, and elegant painted wall-screens.
You see the tops of these tables are of mottled marble; the frame-work and the stools are of rich black wood.
The rooms are lighted by large lanterns of glass set in wooden frames, which you can see suspended from the ceiling.
There is a fine French-plate mirror just behind that little fellow advancing with a plate of sweetmeats.
In the rear of this room there is a large kitchen where professional cooks, noted for their cleanliness, are employed in making all sorts of pastry.
A peculiar feature of these kitchens is the large stock of boiling water kept on hand and sold at two cash a kettleful-two cash being about one-eighth of a cent.
This is a rather clever bit of economy where fuel is quite expensive, and, some time, perhaps, stands for the sale of hot water may become a paying business in America when the exigencies of vastly increased population compel a more grinding economy.
As guests enter and seat themselves at these tables, trays of sweetmeats and fruits of many sorts are placed on the tables occupied.
Small cups of tea, well made but never strong as it is taken in Western countries, are also placed before the guests.
When the temperate, harmless beverage is finished, guests, the occasional guests, are expected to leave and give place to others; but the man of leisure may be expected to spend his excess of time here in tea-inspired sociality with friends and neighbors.
To increase the hilarity proprietors often engage vocalists and professional story-tellers and reciters who sing and relate and recite all day long.
Smaller rooms are connected with these places in which those addicted to the opium habit can retire to inhale the fumes of that seductive alkaloid.
But, you will say, is not the opium habit as pernicious in its effects as that of alcohol?
In a word I would answer, No.
I think the two habits do not admit of comparison.
Old men are found here who, between their pipes and occasional cups of tea, pass away many weary hours.
All classes are found here; but not both sexes.
It is not considered proper for females to frequent the tea-houses.
Public thoroughfares are naturally chosen for tea-rooms; they are, therefore, not infrequently found adjoining temples and yamens.
This, then, is what I have called the national resort of China, with seldom anything more than tea for a beverage and sweetmeats and the pipe as indulgences.
You see these men at the tables; the trays of cakes and fruits have been mostly removed; the small teacups may be refilled.
The delicious tea costs less than a cent a cup; there is no drunkenness here; there are no bar-room brawls; there may be the mild merriment and sociability that come of theine, but not the maniacal madness of alcohol.
I leave further comparison between the beer-saloon of the West and the tea-house of the East for your own making.

",4,Daily Life and Occupations
20,3,"You may see two pipes standing on the table by the teacups; they are not opium-pipes, but a not uncommon style of metal tobacco-pipe.
The horizontal bowl is filled with water; the small upright bowl for the tobacco is attached to the top of the water-bowl; a small quantity of tobacco is used at one time; the smoke is drawn through the water and thereby cooled and purified.
Water-pipes in endless varieties are used, not only in China, but in all Oriental countries; so between sipping draughts of mild tea and whiffing a smoke well freed of its harmful alkaloid, the Chinaman whiles away his leisure.
",4,Daily Life and Occupations
20,4,"Notice the old man by the first table.
According to Shakespeare he must be a great thinker.
For the peerless poet makes Cæsar say: ""Yon Cassius has a lean and hungry look; he thinks too much; such men are dangerous.""
One lady noticing the sharp, thin face of this man remarked, ""When the Chinese are skinny they are so awful skinny!""
Well, I must tell you that this lean, hungry-looking specimen was my guide at this teahouse.
That I found him not only hungry-looking, but hungry, indeed.
For no sooner had we entered the place than he ordered a cup of tea for himself, and ordered his cup several times refilled.
",4,Daily Life and Occupations
20,5,"I smiled at his many generous draughts; but when leaving the place I learned that although his face was thin, there was no lack of “ cheek""; the several cups were all charged to me.
The cup was small and the bill was small, but the ""cheek was huge.
This was the third time in the one day's service that this old picked-up guide had ""squeezed my pigeon""; but I should explain this curious phrase, which is current and well understood in all parts of China where the so-called ""pigeon English ""is spoken.
“Pigeon,"" or ""pigin,"" is as near as the Chinese lingual organs can come to saying business.
A Chinaman, for instance, who wishes to say, ""That is not my business,"" will say, ""That no my pigeon.""
All Chinese servants, without exception, will in some way get a commission or a profit out of any handling of money for their employers.
If you send a servant to buy an article he will in some way get a percentage out of the transaction.
This is called ""squeezing the pigeon.""
This habit is universal and often extremely tantalizing.
It is so thoroughly engrafted on the Chinese business code that severe and repeated floggings will not check it.
",20,Social Classes and Customs
20,6,"Now that we have taken our first lesson in pigeon English, I will return to my guide the tea-drinker.
On the same day this cadaverous-looking old Cassius accompanied me to the native city where he pretended that certain fees were required, a part of which, I am sure, he kept himself.
Later in the day he engaged to find a native woman who would allow her compressed feet to be photographed; he found one who would thus expose her feet for two dollars, as he said.
I afterward learned that he paid the subject one dollar and kept the other himself.
Thus at this tea-house was my ""pigeon squeezed ""for the third time in one day.
As we reached the street I entered a rikisha"" and said to my hungry old guide: ""You squeeze my pigeon three times, I squeeze your pigeon one time,"" and deducted from his pay three ""squeezes,"" and we parted.
",2,British Colonialism
20,7,"During my stay in Shanghai a desperate river pirate was captured.
He had previously committed several murders; but his last offense was the gouging out of a man's eyes.
He was taken in this crime and brought to the native city where he was tried before a Chinese tribunal and condemned to die by what is known as the cage.
",17,Prisoners and Punishment
21,2,"The public announcement that the death penalty by the ""cage"" was to be inflicted upon this notorious fiend created great excitement among the natives of Shanghai.
This means of execution had not been employed for many years; few had ever seen a criminal in a cage,"" which consists, as you can see, of a frame of rough sticks.
sufficiently high to allow a man to stand erect within.
Boards are placed close around his neck and made fast to the frame; flat stones are placed beneath his feet, supporting him about twelve inches above the ground.
After a stated time these stones are removed one by one, causing a gradual suspension by the neck and a slow strangulation.
Before the termination of this prolonged death penalty, the criminal in his cage is compelled to stand one day before each gate of the city.
There are six gates to the old city of Shanghai; that means a week of unimaginable fatigue before the scornful gaze of crowds in the thoroughfares.
During all that time public curiosity was increasing and the daily crowd was becoming larger.
When I heard of this unusual spectacle of a caged criminal, I arranged with a Chinese shopkeeper, with whom I had become acquainted, to go with me as interpreter, he being able to speak a little English.
Together we visited several gates before we could locate the prisoner.
We had heard beforehand that the condemned man was charging fifty cents each for snapshots.
When we finally found him he was surrounded by an impenetrable crowd of natives, and his charges had gone up to five dollars under a lively patronage.
We found we had to negotiate with the police in charge, who were evidently dividing the ""squeezes"" with the prisoner.
My Chinese friend succeeded after tedious parley in a surging crowd in reducing the license from five Mexican dollars to four, with the proviso that the crowd must be cleared out of the way, and that the prisoner must remove his hat and turn his face toward the light.
To this the police agreed and the four dollars had to be paid beforehand.
In this way the view was secured.
It is rare because this form of death penalty is rarely imposed.
Notice how he holds the straw hat, which by our verbal contract he was obliged to remove; and note also the peculiarities of his hair; his queue has been removed and his front hair allowed to grow.
This is always done with criminals.
The queue and the shaven front are marks of loyalty to the reigning dynasty and not permitted on the part of those under condemnation.
Notice the iron hasps on the side of the cage, through which poles are put to carry it from gate to gate; also the flat stones beneath his feet soon to be removed one by one.
His ruling passion (the ""squeeze"") is strong in death.
This is the last gate, and to-morrow means the removal of the first stone.
When the morrow came this poor callous wretch was dead; his friends had smuggled in to him during the last night a mortal draught, and he cheated the cage of its intended strangulation.
I asked my Chinese friend what this man, condemned to ignominious death, would do with this money.
He replied, ""Give to his people.""
Here again is filial piety.
His face is not so bad, less Mongolian than most in that horde behind; but the capacity for heartless crime was there, and he paid the penalty.
This is one of the many strange devices for torture and punishment practiced in China; further on in our itinerary I will explain others.
",17,Prisoners and Punishment
21,3,"From one of the modes of penalty we will proceed to a place where I can show you one of the modes of fashion.
Dame Fashion is a tyrannical mistress in all countries, and not less so in China than elsewhere.
She contracts waists in America and compresses feet in China.
You are accustomed to see the former contracted beyond the normal condition, but not the latter; so we will enter a room at the hotel where you can see what has rarely been seen, the unwrapped, exposed small feet of a Chinese woman.
All the world has heard of these small feet, but very few, even of the missionaries who dwell in that land, have ever seen them.
",7,Fashion and Dress
22,2,"Here they are in every particular of repulsive malformation, and they are called ""lily feet.""
What a slander on that floral gem!
Much has been written about this strange custom of binding the feet, and many different ideas advanced as to its origin.
Some Chinese tell us that it was a handicap placed on woman's gadding proclivities many centuries ago.
Another tradition tells how a beautiful princess, having club feet, so skillfully concealed the fact that others imitated her methods and in this way her imitators brought about a fashion of binding the feet.
I am more inclined to believe, however, that it is an innovation of fashion; that through all time small feet have been considered more comely than large feet; and fashion exaggerates every means to an end, and this custom has been exaggerated into a deformity in China.
Western nations are not guiltless in this matter; corns and bunions and other feet ailments are often attributable to feet-binding by shoes which are too small.
Any person who wears shoes a size or a half-size too small lives in a glass house and must not criticise foot-binding in China; it is therefore a matter of degree and not principle.
The Chinese insist that tight lacing in Western countries is in worse taste and more injurious to health than feet-binding; that the waist is more vital than the feet, and that a slight compression of the former is more disastrous than even malformation of the latter.
It is generally believed that feet-binding is only practiced by the upper classes, and that ""lily feet"" are a badge of refinement; later writers and travellers in China claim this is a mistake, and my own observations have been that it is practiced by all classes except the Manchus, though no doubt less by the lower class, who are obliged to work.
",20,Social Classes and Customs
22,3,"Doubtless you would like to know the process by which this deformity is accomplished.
When the little miss has her muscles of locomotion fairly well developed, say at from five to eight years of age, pieces of cloth from two to three inches wide are wound tightly around the feet, commencing at the great toe and winding upward to and over the ankle; the toes are turned under, as you see them in this case; the heel is drawn toward the sole of the foot.
until the two extremes are nearly in contact; other and stronger wrappings are added; occasionally the bandages are removed and readjusted; the circulation is sufficiently arrested to stop further growth and development.
This process of binding is never abandoned even in adult life.
Should the bandages be removed, an undesirable expansion will follow, but never to a normal condition.
Disuse of the feet deteriorates the muscles of the legs, and the calves almost disappear; but this adds to the symmetry of the ideal female form which, according to the Chinese fancy, should taper gradually from the shoulders to the point of the little foot.
These dainty feet are well nigh useless for pedestrian purposes, and impart a gait which one can imitate perfectly by trying to walk on the heels without touching the front part of the foot to the ground.
",20,Social Classes and Customs
22,4,"Possibly you would like to know how I succeeded in getting this view, since I have told you they are so seldom seen.
You remember my old guide at the tea-house who squeezed the pigeon"" when trying to find me a smallfooted subject.
He promised to find for me a woman who would allow her feet to be photographed.
I went with him to a native quarter of the city, where he said he had bargained with a pretty girl; because I, of course, stipulated that the face should be pretty as well as the feet, for art purposes.
He took me by devious ways to an upper floor, where, after haggling with the inmates for a tedious length of time, he brought forth an unusually comely specimen who giggled after the fashion of girls the world over; but she had not been made to understand that her feet must be unbound, and when this was explained to her she fled precipitately, and no money consideration would tempt her to return.
We left and tried another home in which the subjects offered were too ugly.
for consideration.
We tried a third house, to which we were followed by a wild gang of idlers, who wondered what the ""fangwei"" (foreign devil) was in search of.
We entered a back yard where gates and doors had to be barred to keep out the crowd.
Here, after much delay.
and trouble, I secured a picture of an unsatisfactory specimen, for which I paid two dollars.
Some time after this experience I engaged a Chinese waiter at the hotel to find a more suitable subject.
After an extended search he found one girl, who, for a consideration of four Mexican dollars, would come to the hotel and unwrap her feet for the camera.
She was poor, and four silver dollars was a tempting sum; necessity has no choice.
She came, accompanied by her mother, underwent the humiliation, and the result is now before you for inspection.
Long usage has taught them to look upon small feet as beautiful; but it is only when they are encased in dainty silken shoes that they are presentable.
Their unwillingness to expose them shows a consciousness of their repulsive appearance when unbound.
The small feet of the Chinese women are not so small as they appear to be; the sharp front part of the foot is wedged into the small shoe, while the heel is lifted up into the leg of the shoe, thus giving the appearance of a foot scarcely three inches long, when in reality it may be six or seven inches.
I have occupied considerable space in telling you about feet-binding, because it is probably the most extraordinary of all Chinese customs.
",20,Social Classes and Customs
22,5,"You will remember that while viewing the city from an elevation I pointed out a large white steamer at the dock.
We shall board that steamer in the evening, pay $7.50 for a first-class fare, and during the following forenoon shall be landed at Ningpo, which, as our map of eastern China shows, is about one hundred and fifty miles south of Shanghai.
",23,Transportation
23,2,"We have left the steamer and have taken our position on a street leading from the landing to the city.
We are looking eastward down the Ningpo River, up which we have just come.
Close to us is a crowd of coolies and the merchandise to be put on board for Shanghai.
By descending the river and continuing directly eastward for ninety-five miles we would arrive at Chusan, in the group of islands of the same name.
We have here again the same busy scene to be witnessed at every port in China, the ever-present, burden-bearing coolie who, in his own country, bids defiance to every form of labor-saving machine.
He is a labor-machine himself-willing, patient, full of endurance and contentment on ten cents a day, and such a thing as a strike has never dawned on his ox-like willingness to do an ox's work.
His labor has been of great value to his country and to the world; but who has ever thought of erecting a monument in recognition of the world's indebtedness to the poor coolie.
You may notice how he often folds his queue about his head to be less inconvenient.
We are seeing this place on the last day of April; by the shadows you know the sun is shining; by the umbrellas you know it is warm.
For greater comfort some of the coolies, like the Russian peasants, are wearing their shirts outside their trousers, and I am not sure but it is the proper way.
One or two women may be seen in this crowd.
I imagine some of these bales contain charcoal, as large quantities of it are shipped to Shanghai; we can see junks in the river; Ningpo is an important place for junk-building.
We can see European houses in the distance by the river.
Ningpo was taken by the British in 1841, and is now a treaty port.
It is encompassed by a wall twenty-five feet in height and contains a population of about 250,000.
The Chinese consider Ningpo as one of the finest cities in the Empire; but to Europeans it is difficult to find much that may be considered fine; the streets are narrow and dirty, and it is intersected by numerous canals which are not by any means Venetian in general effect.
And, as in all cities in China, everything is out of repair; there are no signs of progress; no new buildings or bridges; everything is old; everything is dilapidated; everywhere there is dirt and disorder.
Pope makes order ""Heaven's first law,' but it is surely the tail-end of the Chinese code.
",4,Daily Life and Occupations
23,3,"Let us find some one among those natives to guide us into the city.
After a half hour's walk we shall find a position on the upper floor of a native shop, from which we can overlook a long bridge of boats.
",12,Harbor and Waterways
24,2,"This bridge is usually a great thoroughfare in Ningpo, especially on market days, when it is lined from end to end with sellers of all kinds of country produce, as well as manufactured goods.
On such days it is next to impossible to pass over it, and ferrymen do a flourishing business, when this branch of the river is impeded by the multitude of small boats carrying passengers to and fro.
The bridge is two hundred yards long and five broad, made of sixteen lighters chained together and covered with planks securely lashed, the whole line of boats being held by anchors.
This is plainly not a market day from the small line of people on the bridge.
It was while making this view that I espied a woman crossing with hair coiffured in a most unusual and fantastic style.
I dispatched my native guide in great haste to intercept her and negotiate a pose, but all attempts and money offers were unavailing.
Her hair was arranged in a thin, vertical coil, projecting about eight inches from her head behind and noticeable at any distance.
The wearers of this odd coiffure are female barbers and belong to an order called the ""To min.""
I cannot just now see one; but only a second ago one of them was on the bridge near us.
There are three thousand in the ""To min"" set, and they, like the Tankia at Canton, are despised by the general community.
The men are not allowed to compete in the examinations or follow an honorable vocation; they are often actors, musicians or sedan-chair carriers.
The women are professional match-makers and barbers, and are obliged to wear a distinctive dress.
The “To min"" are supposed to be descendants of one Kin who aided the Japanese in their attack on this province; hence the odium which has rested upon them ever since.
It is often charged that the Chinese lack patriotism, but this prejudice against the ""To min"" surely resembles patriotism.
",20,Social Classes and Customs
24,3,"You see a part of the steeple of the Catholic Church beyond the river.
A Christian Church in the heart of a Chinese city is always a wonderful sight because of its power of suggestion.
It always seems to say: ""Look on this picture and on this.""
The missionary work has long been well established in Ningpo.
All denominations are represented, and it is said that the people in this province have been more susceptible to Christian influence than in many other parts of the country.
The sights that meet the eye in Ningpo are very similar to those we have seen in Shanghai and Canton, but still there are some curious things worthy our attention.
",14,Missionary Work
24,4,"We will cross that bridge and pass yonder church.
On our way, in a yard, a timber-yard, we will call it, we shall stop to inspect an unusual and ancient kind of saw-mill.
",4,Daily Life and Occupations
25,2,"This is truly the saw-mill of the country; it is everywhere in the rural districts, in the villages, in the great cities; even in the great cities like Shanghai and Tien-tsin, where manufacturers are partially Europeanized.
This primitive method of lumber making still bears the sway and the smart modern steam saw-mill can scarcely compete.
This mill will generally run threescore and ten years without any important renovation or restoration; besides, it is not an eight-hour mill; it runs from sunrise to sunset and seven days in the week, and never goes on a strike; it contains an automatic free orchestra attachment which furnishes music all day long; that is, they sing as they work.
It turns out between two and three hundred feet of lumber per day.
The running expenses are trifling mill rent, twenty cents; fuel (rice), ten cents; extra mill hands, nothing; natural wear and tear, nothing; total daily running expense of the mill, thirty 1OO cents.
Here we have another example of the invaluable labor of the unhonored coolie.
See if you can tell how this heavy timber is supported rigidly erect for the heavy strain of a cross-cut saw.
The timber was not put in place for the camera; the coolies simply stopped their work for a moment.
Then we are to remember that this is the kind of mill that supplies the largest empire in the world with lumber.
Have you ever seen a cross-cut saw like that?
It is after the fashion of our buck-saw, used horizontally, with the saw at right angles to the frame; that is the universal model of saw for the East, both for light and heavy work.
This is a timber yard as well as a saw-mill.
There is a stack of bamboo poles of all sizes, destined to be used for almost every conceivable purpose.
",4,Daily Life and Occupations
25,3,"We will give those poor toilers a few cash and proceed on our way until we reach a beautiful temple called the Fukien Guild Hall.
",20,Social Classes and Customs
26,2,"This magnificent structure was first erected in the twelfth century by men from the Province of Fukien, which lies south of Chien Kiang, the province in which Ningpo is located.
It was rebuilt in 1680, and one can scarcely believe from the bright new appearance of the carved columns that it has been standing as we now see it for over two hundred years.
It has a large membership of wealthy men and is richly endowed.
These Guild Halls in the Flowery Kingdom correspond to clubs in Western 1Ο1 countries; they are social and semi-commercial, being a meeting place for commercial and literary men and people of wealth and standing.
The buildings cover an extensive area, arranged in different halls of one story with a courtyard in front of each.
Merchants from the same province of Fukien have erected another beautiful Guild Hall at Canton at a cost of $120,000.
In some of the halls a stage is erected for theatrical performances, and from a balcony members and their friends can enjoy the entertainments.
In other halls shrines are dedicated to different so-called deities, such as the Queen of Heaven, the God of Learning, etc.
This Fukien Guild Hall, or temple, is said to be dedicated to the Marine Goddess, Ma Tsupu.
There is also in some part of the temple area an Ancestral Hall, in which tablets are erected in memory of departed members of the guild or club.
The appearance of this place on festal occasions is animated and brilliant.
Lanterns and scrolls are suspended from the ceilings on which curious characters and devices are written in gorgeous colors.
The rich and elaborate magnificence of the carving on those columns you can observe from where we stand.
Some of these columns, my guide told me, were executed in Amoy and others in Ningpo; they are monolithic and of fine gray granite.
We have noticed from time to time on our journey the lack of architectural beauty and attractiveness in Chinese buildings.
The Ancestral Hall in Canton was beautiful.
In this clubhouse we have another evidence that the Chinese are not devoid of architectural art and taste.
These columns would not disgrace the carver's cunning in any age or country.
Just notice how delicate in every detail, how rich the designs and in what elaborate and bold relief are the figures on the columns of this porch.

",1,Architecture and Building
26,3,"The two national emblems are here brought before us so conspicuously and in such beautiful art that I must tell you something about them.
I mean the dragon and the lion.
What the lion and the unicorn are to England, and what the eagle is to America, the dragon and the lion are to China.
They are the chief national emblems; you will see them everywhere in art and decoration.
The dragon is the symbol on the Imperial flag; the lion is the guardian of every home, shop and temple.
Every people must have a mythology; human nature takes to myth as to food; it seems almost an indispensable psychological aliment, and the people of the Middle Kingdom are no exception.
The whole empire is filled with mysterious influences, which, of course, must be localized and symbolized.
In Chinese mythology there is not one dragon, but many; there is the Celestial dragon which presides over the mansions of the gods; the divine dragon which causes the winds to blow.
The Buddhists consider their dragons as numerous as the fish of the sea; but the fabulous dragon with scales and claws seems to be a sort of Jupiter or Odin in their polytheism; he performs many functions.
He is represented as a flying Saurian, yet without wings; plainly a different species from the one encountered by St. George.
He is always represented as a scaly five-clawed crocodile; he presides over the elements; he has power to become visible or invisible; in short, he is a factotum in their divinity business.
He is the crest on royal monuments, is displayed on the Emperor's robes, and the Grand Chair of State is called the dragon throne.
",18,Religion (Buddhism and Ancestor Worship)
